actual login,ftptest.portlandredbird.com,ftpacct@ftptest.portlandredbird.com
test label,test.ftp.address,testusername@test.ftp.address
test label,test.ftp.address,testusername@test.ftp.address
test label,test.ftp.address,testusername@test.ftp.address
test label,test.ftp.address,testusername@test.ftp.address
test label,test.ftp.address,testusername@test.ftp.address
test label,test.ftp.address,testusername@test.ftp.address
test label,test.ftp.address,testusername@test.ftp.address
test label,test.ftp.address,testusername@test.ftp.address
test label,test.ftp.address,testusername@test.ftp.address
test label,test.ftp.address,testusername@test.ftp.address
test label,test.ftp.address,testusername@test.ftp.address
test label,test.ftp.address,testusername@test.ftp.address
test label,test.ftp.address,testusername@test.ftp.address
test label,test.ftp.address,testusername@test.ftp.address
test label,test.ftp.address,testusername@test.ftp.address
test label,test.ftp.address,testusername@test.ftp.address
test label,test.ftp.address,testusername@test.ftp.address
test label,test.ftp.address,testusername@test.ftp.address
test label,test.ftp.address,testusername@test.ftp.address
test label,test.ftp.address,testusername@test.ftp.address
test label,test.ftp.address,testusername@test.ftp.address
test label,test.ftp.address,testusername@test.ftp.address
